Faye Dunaway
William Holden
Peter Finch
Robert Duvall
Wesley Addy
Ned Beatty
Arthur Burghardt
Bill Burrows
John Carpenter
Jordan Charney
Kathy Cronkite
Ed Crowley
Jerome Dempsey
Conchata Ferrell
Gene Gross
Stanley Grover
Cindy Grover
Darryl Hickman
Mitchell Jason
Paul Jenkins
Ken Kercheval
Kenneth Kimmins
Lynn Klugman
Carolyn Krigbaum
Zane Lasky
Michael Lipton
Michael Lombard
Pirie MacDonald
Russ Petranto
Bernard Pollock
Roy Poole
William Prince
Sasha von Scherler
Lane Smith
Ted Sorel
Beatrice Straight
Fred Stuthman
Cameron Thomas
Marlene Warfield
Lydia Wilen
Lee Richardson
John Chancellor
Walter Cronkite
Andrew Duncan
Todd Everett
Betty Ford
Gerald Ford
John Gabriel
Tom Gibney
Lance Henriksen
Raymond Martino
Howard K. Smith
David Susskind
Michael Tucker
Ahmed Yamani
