Cary Elwes
Mandy Patinkin
Chris Sarandon
Christopher Guest
Wallace Shawn
André the Giant
Fred Savage
Robin Wright
Peter Falk
Peter Cook
Mel Smith
Carol Kane
Billy Crystal
Anne Dyson
Margery Mason
Malcolm Storry
Willoughby Gray
Betsy Brantley
Paul Badger
Danny Blackner
Sallie McLaughlin
Derek Pykett
