Giulietta Masina
François Périer
Franca Marzi
Dorian Gray
Aldo Silvani
Ennio Girolami
Mario Passante
Christian Tassou
Amedeo Nazzari
Gianni Baghino
Franco Balducci
Ciccio Barbi
Jusy Boncinelli
Loretta Capitoli
Leo Catozzo
Dominique Delouche
Edda Evangelista
Franco Fabrizi
Riccardo Fellini
Ines Ferrari
Biagio Gambini
Giovanna Gattinoni
Amedeo Girardi
Pina Gualandri
Elio Mauro
Nino Milano
Jean Mollier
Sandro Moretti
Sergio Parlato
Mimmo Poli
Polidor
María Luisa Rolando
Vittorio Tosti
