Aleksey Kravchenko
Olga Mironova
Liubomiras Laucevicius
Vladas Bagdonas
Jüri Lumiste
Viktor Lorents
Kazimir Rabetsky
Evgeniy Tilicheev
Aleksandr Berda
G. Velts
V. Vasilyev
Igor Gnevashev
Vasiliy Domrachyov
G. Yelkin
Evgeniy Kryzhanovskiy
N. Lisichenok
Viktor Manaev
Takhir Matyullin
Pyotr Merkurev
Valentin Mishatkin
Gennadiy Matytsky
Yevgeniya Polyakova
Anatoly Slivnikov
Georgiy Strokov
Tatyana Shestakova
Oleg Shapko
Adolf Hitler
