Fred MacMurray
Barbara Stanwyck
Edward G. Robinson
Porter Hall
Jean Heather
Tom Powers
Byron Barr
Richard Gaines
Fortunio Bonanova
John Philliber
James Adamson
John Berry
Raymond Chandler
Edmund Cobb
Kernan Cripps
Betty Farrington
Bess Flowers
Harold Garrison
Eddie Hall
Teala Loring
George Magrill
Sam McDaniel
Billy Mitchell
Clarence Muse
Miriam Nelson
Constance Purdy
Dick Rush
Floyd Shackelford
Oscar Smith
Douglas Spencer
