William Holden
Alec Guinness
Jack Hawkins
Sessue Hayakawa
James Donald
Geoffrey Horne
André Morell
Peter Williams
John Boxer
Percy Herbert
Harold Goodwin
Ann Sears
Heihachirô Ôkawa
Keiichirô Katsumoto
M.R.B. Chakrabandhu
Vilaiwan Seeboonreaung
Ngamta Suphaphongs
Javanart Punynchoti
Kannikar Dowklee
Tsai Chin
Christopher Greet
Herbert Nelson
