Jack Nicholson
Faye Dunaway
John Huston
Perry Lopez
John Hillerman
Darrell Zwerling
Diane Ladd
Roy Jenson
Roman Polanski
Richard Bakalyan
Joe Mantell
Bruce Glover
Nandu Hinds
James O'Rear
James Hong
Beulah Quo
Jerry Fujikawa
Belinda Palmer
Roy Roberts
Noble Willingham
Elliott Montgomery
Rance Howard
George Justin
C.O. Erickson
Fritzi Burr
Charles Knapp
Claudio Martínez
Federico Roberto
Allan Warnick
John Holland
Jesse Vint
Jim Burk
Denny Arnold
Burt Young
Elizabeth Harding
John Rogers
Cecil Elliott
Paul Jenkins
Lee de Broux
Bob Golden
Bob Harks
John Marlin
Richard Warren
