Harvey Keitel
Tim Roth
Michael Madsen
Chris Penn
Steve Buscemi
Lawrence Tierney
Randy Brooks
Kirk Baltz
Edward Bunker
Quentin Tarantino
Rich Turner
David Steen
Tony Cosmo
Stevo Polyi
Michael Sottile
Robert Ruth
Lawrence Bender
Linda Kaye
Suzanne Celeste
Steven Wright
Laurie Lathem
Maria Strova
Burr Steers
Craig Hamann
Jeff Shea
Rowland Wafford
