Steve McQueen
James Garner
Richard Attenborough
James Donald
Charles Bronson
Donald Pleasence
James Coburn
Hannes Messemer
David McCallum
Gordon Jackson
John Leyton
Angus Lennie
Nigel Stock
Robert Graf
Jud Taylor
Hans Reiser
Harry Riebauer
William Russell
Robert Freitag
Ulrich Beiger
George Mikell
Lawrence Montaigne
Robert Desmond
Til Kiwe
Heinz Weiss
Tom Adams
Karl-Otto Alberty
Arthur Atkinson
