Simone Signoret
Véra Clouzot
Paul Meurisse
Charles Vanel
Jean Brochard
Thérèse Dorny
Michel Serrault
Georges Chamarat
Robert Dalban
Camille Guérini
Jacques Hilling
Jean Lefebvre
Aminda Montserrat
Jean Témerson
Jacques Varennes
Georges Poujouly
Yves-Marie Maurin
Noël Roquevert
Pierre Larquey
Jean-Pierre Bonnefous
Christian Brocard
Jean Clarieux
Henri Coutet
Michel Dumur
Johnny Hallyday
Henri Humbert
Zappy Max
Roberto Rodrigo
Madeleine Suffel
Jimmy Urbain
