Maria Falconetti
Eugene Silvain
André Berley
Maurice Schutz
Antonin Artaud
Michel Simon
Jean d'Yd
Louis Ravet
Armand Lurville
Jacques Arnna
Alexandre Mihalesco
Léon Larive
Jean Aymé
Gilbert Dacheux
Gilbert Dalleu
Paul Delauzac
Dimitri Dimitriev
Fournez-Goffard
Henri Gaultier
Paul Jorge
Marie Lacroix
Henri Maillard
Raymond Narlay
