Alfred Abel
Gustav Fröhlich
Rudolf Klein-Rogge
Fritz Rasp
Theodor Loos
Erwin Biswanger
Heinrich George
Brigitte Helm
Fritz Alberti
Grete Berger
Olly Boeheim
Max Dietze
Ellen Frey
Beatrice Garga
Heinrich Gotho
Dolly Grey
Anny Hintze
Gottfried Huppertz
Georg John
Walter Kuehle
Margarete Lanner
Rose Lichtenstein
Hanns Leo Reich
Arthur Reinhardt
Curt Siodmak
Henrietta Siodmak
Olaf Storm
Erwin Vater
Rolf von Goth
Helen von Münchofen
Helene Weigel
Hilde Woitscheff
