Victor Sjöström
Bibi Andersson
Ingrid Thulin
Gunnar Björnstrand
Jullan Kindahl
Folke Sundquist
Björn Bjelfvenstam
Naima Wifstrand
Gunnel Broström
Gertrud Fridh
Sif Ruud
Gunnar Sjöberg
Max von Sydow
Åke Fridell
Yngve Nordwall
Per Sjöstrand
Gio Petré
Gunnel Lindblom
Maud Hansson
Ann-Marie Wiman
Eva Norée
Lena Bergman
Monica Ehrling
Göran Lundquist
Josef Norman
Gunnar Olsson
Vendela Rudbäck
Per Skogsberg
Peder Hellman
Ulf Johansson
Helge Wulff
