Toshirô Mifune
Tatsuya Nakadai
Yôko Tsukasa
Isuzu Yamada
Daisuke Katô
Seizaburô Kawazu
Takashi Shimura
Hiroshi Tachikawa
Yôsuke Natsuki
Eijirô Tôno
Kamatari Fujiwara
Ikio Sawamura
Atsushi Watanabe
Susumu Fujita
Kyû Sazanka
Kô Nishimura
Takeshi Katô
Ichirô Nakatani
Sachio Sakai
Akira Tani
Tsunagorô Rashômon
Yoshio Tsuchiya
Gen Shimizu
Yutaka Sada
Shin Ôtomo
Shôichi Hirose
Hideyo Amamoto
Shôji Ôki
Fuminori Ôhashi
Hiroshi Yoseyama
Senkichi Ômura
Noriko Honma
Ryusuke Nishio
Naoya Kusakawa
Nadao Kirino
Jun Ôtomo
Shinpei Takagi
Akio Kusama
Yasuzô Ogawa
Hiroshi Takagi
Jun'ichirô Mukai
Fumiyoshi Kamagaya
Ichirô Chiba
Haruya Sakamoto
Rinsaku Ogata
Fumio Kogushi
Yoko Terui
Hiromi Mineoka
Michiko Kawa
Takuzô Kumagai
Jerry Fujio
Haruo Nakajima
